lp,kto,ord,kompozytor,dyrygent,orkiestra,soliści,co,data nagrania,data wydania,wytwórnia,część,uwagi,typ,genre,medium
1659,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Andre Cluytens,Orchestre National de la Radiodiffusion Francaise,"Dimitri Szostakowicz – piano, Ludovic Vaillant - trumpet","Concerto for piano, trumpet and strings c-moll op.35; Piano Concerto No.2 F-dur op.102, Three Fantastic Dances Op.5, Preludes and Fuges Op.87",1958.59,1993,EMI,,,klasyka,classics,CD
1660,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Yuli Turovsky,I Musici De Montreal,Dimitri (junior) i Maxim Szostakowicz,"Concerto for piano, trumpet and strings c-moll op.35; Chamber Symphony for strings c-moll op.110a",,1985,Chandos,,,klasyka,classics,CD
1661,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Yuli Turovsky,I Musici De Montreal,Dimitri (junior) i Maxim Szostakowicz,Piano Concerto No.2 F-dur op.102ł Symphony for strings As-dur op.118a,,1986,Chandos,,,klasyka,classics,CD
1662,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Victor Desarzens,Vienna State Opera Orchestra,"Eugene List, Franz Wesenigk, Georg-Ludwig Jochum / Trio Bolzano","Concerto for Piano & Trumpet No.1, Piano Concerto No.2 / Trio No.2",,1996,MCA,,,klasyka,classics,CD
1663,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Maxim Szostakowicz,Prague Symphony Orchestra,Jiri Barta - cello,Cello Concertos Nos.1 Es-dur op.107 & 2 op.126 (Szostakowicz conducts Szostakowicz),1996.99,1999,Supraphon,,,klasyka,classics,CD
1664,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Michael Tilson Thomas,London Symphony Orchestra,Misha Maisky,Cello Concertos Nos.1 Es-dur op.107 & 2 op.126,,,Deutsche Grammophon,,KOPIA,klasyka,classics,CD
1665,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Dimitri Mitropoulos / Eugene Ormandy,New York Philharmonic / Philadelphia Orchestra,David Oistrakh / Mstislav Rostropovich,Violin Concerto No.1 a-moll op.99 / Cello Concerto No.1 Es-dur op.107,"1956,60",1998,SONY,,,klasyka,classics,CD
1666,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Riccardo Chailly,Royal Concertgebouw Orchestra,,Jazz Music,,1993,Decca,,,klasyka,classics,CD
1667,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Gennady Rozhdestvensky,USSR Ministry of Culture Symphony Orchestra,,Orchestral Works,1980.91,1998,BMG (Melodiya),1,KOPIA,klasyka,classics,CD
1668,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Gennady Rozhdestvensky,USSR Ministry of Culture Symphony Orchestra,,Orchestral Works,1980.91,1998,BMG (Melodiya),2,KOPIA,klasyka,classics,CD
1669,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,"Ambrosian Opera Chorus, London Philharmonic Orchestra","Galina Vishnevskaya, Nicolai Gedda, Dimitri Petkov",Lady Macbeth Of Mtsensk,,1990,EMI,1,,klasyka,classics,CD
1670,Dimitri Szostakowicz,Szostakowicz,Dimitri Szostakowicz,Mstislav Rostropovich,"Ambrosian Opera Chorus, London Philharmonic Orchestra","Galina Vishnevskaya, Nicolai Gedda, Dimitri Petkov",Lady Macbeth Of Mtsensk,,1990,EMI,2,,klasyka,classics,CD
1671,Dimitri Szostakowicz,Szostakowicz,"Szostakowicz, Czajkowski",,,"Martha Argerich, Gidon Kremer, Misha Maisky",Trios no.2 e-moll op.67 / a-moll op.50,,1999,Deutsche Grammophon,,,klasyka,classics,CD
